id_rapport,cuve_journaliere,cuve_principale,groupe,quantite_cuve_principale,quantite_cuve_journaliere,depotage,compteur_horaire,etat_fonctionnement,observations
3,CJ022,CP020,G22-LIONROCK-18,730.0,1000.0,0.0,1706.0,F,RAS
3,CJ023,CP021,G23-PERKINS-60,2450.0,0.0,0.0,5301.0,F,RAS
3,CJ024,CP022,G24-HUAWEI-23,800.0,0.0,0.0,801.0,F,GES En arrêt défaut de l’électrovanne d’arrêt
3,CJ025,CP023,G25-LISTER PETTER-12.5,0.0,0.0,0.0,0.0,HS,GE lister Peter Vétuste en arrêt
3,CJ026,CP024,G26-LISTER PETTER-12.5,0.0,0.0,0.0,0.0,HS,GE lister Peter Vétuste en arrêt
3,CJ028,CP026,G28-HUAWEI-23,800.0,0.0,0.0,1231.0,F,RAS
3,CJ029,CP027,G29-LIONROCK-18,600.0,0.0,0.0,4211.0,P,Cuve journalière: XXX L
3,CJ030,CP028,G30-LIONROCK-27,154.0,0.0,0.0,745.0,F,RAS
3,CJ031,CP030,G31-CUMMINS-500,3270.0,0.0,3000.0,357.0,F,RAS Ravitaillement de 3000 Litres de carburant de la livraison de 25 OOO Litres fournit par le Marqueteur NEPTUNE OUIL en date du 15/07/2026
3,CJ032,CP030,G32-CUMMINS-500,3270.0,0.0,0.0,0.0,HS,GES Hors service (défaut carte de contrôle)
3,CJ033,CP029,G33-KHOLERR-0,0.0,0.0,0.0,601.0,NC,état non renseigné (²) ; Cuve principale: Aucun baremage sur la cuve
